Site,Fish GMM
6,2.436286829
1,
2,
3,
4,2.659259259
5,1.778425656
6,1.985902926
1,
2,
3,
4,1.778425656
5,2.162629758
6,1.7578125
1,
2,
3,
4,2.602172852
5,1.714677641
6,1.97421673
1,
2,
3,
4,2.701684282
5,1.807901903
6,1.693508781
1,
2,
3,
4,2.661093964
5,2.040816327
6,1.739154632
1,
2,
3,
4,1.812792591
5,2.072927566
6,1.70568699
1,
2,
3,
4,1.826150475
5,2.011661808
6,2.47507544
1,
2,
3,
4,1.975308642
5,2.052202465
6,1.748903001
1,
2,
3,
4,2.703719178
5,2.069970845
6,1.632303652
1,
2,
3,
4,1.886626335
5,1.861858836
6,1.628332994
1,
2,
3,
4,1.759260603
5,1.929904415
6,1.7578125
1,
2,
3,
4,1.930113121
5,1.690962099
6,1.658025228
1,
2,
3,
4,1.902230494
5,2.164127424
6,2.528604649
1,
2,
3,
4,1.927083333
5,2.00938786
6,1.617996896
1,
2,
3,
4,2.679684219
5,1.812792591
6,1.933791993
1,
2,
3,
4,1.865569273
5,1.795053155
6,2.539034641
1,
2,
3,
4,1.875
5,2.64452354
6,1.276651881
1,
2,
3,
4,1.604370148
5,1.719250114
6,2.455984838
1,
2,
3,
4,1.799407224
5,2.250514403
6,1.880466472
1,
2,
3,
4,1.708529285
5,1.791163034
6,1.695687302
1,
2,
3,
4,1.694771253
5,1.74592
6,1.771137026
1,
2,
3,
4,2.77664
5,2.592144919
6,2.429697137
1,
2,
3,
4,1.788801266
5,1.741982507
6,1.805617728
1,
2,
3,
4,2.635555556
5,1.926825261
6,1.896525565
1,
2,
3,
4,2.659259259
5,1.679314899
6,1.408963355
1,
2,
3,
4,1.778425656
5,2.059567082
6,2.583335243
1,
2,
3,
4,2.602172852
5,2.014272968
6,1.959611457
1,
2,
3,
4,2.701684282
5,1.814744802
6,1.643303356
1,
2,
3,
4,
5,1.665808609
6,1.638387363
1,
2,
3,
4,
5,2.500342936
6,2.550987177
1,
2,
3,
4,
5,2.54465167
6,1.793459602
1,
2,
3,
4,
5,1.668828506
6,1.785052461
1,
2,
3,
4,
5,1.849944139
6,1.840591431
1,
2,
3,
4,
5,2.124709495
6,1.920801092
1,
2,
3,
4,
5,1.744283921
6,1.953642129
1,
2,
3,
4,
5,1.800025044
6,1.791943241
1,
2,
3,
4,
5,1.828542953
6,1.88660778
1,
2,
3,
4,
5,1.948111061
6,1.732901226
1,
2,
3,
4,
5,1.712997746
6,1.593760684
1,
2,
3,
4,
5,
6,1.849652265
1,
2,
3,
4,
5,
6,1.657714301
1,
2,
3,
4,
5,
6,2.64452354
1,
2,
3,
4,
5,
6,1.719250114
1,
2,
3,
4,
5,
6,2.250514403
1,
2,
3,
4,
5,
6,1.791163034
1,
2,
3,
4,
5,
6,1.74592
