site,group,ph,do,phosphate,nitrogen,ec,temp,turbidity
B1,burned,8.37,10.3,0.29,1.7,501,21.2,90
B2,burned,8.21,9.04,0.32,1.5,479,20.4,91
B3,burned,8.36,9.73,0.28,1.3,490,19.9,93
B4,burned,8.18,9.36,0.29,1.6,496,19.6,92
U5,unburned,7.3,9.22,0.18,0.8,469,14.4,97
U6,unburned,7.47,9.38,0.16,0.5,462,19.4,98
U7,unburned,7.67,9.12,0.16,0.7,462,17.4,100
U8,unburned,7.62,9,0.15,1,460,18.7,97
