site,K
Site8,1.803155522
Site8,1.8450941
Site8,1.879099854
Site8,1.743050338
Site8,1.765215015
Site8,2.230465815
Site8,1.989293981
Site8,2.133591261
Site8,1.8450941
Site8,1.822157434
Site8,1.803155522
Site8,1.682945154
Site8,2.429543246
Site8,1.956018519
Site8,1.935446175
Site8,1.69403699
Site8,1.710252752
Site8,1.606785504
Site8,1.984511544
Site8,1.983471074
Site8,2.049927114
Site8,1.822157434
Site8,1.991351843
Site8,1.784970548
Site8,2.035416243
Site8,1.777992717
Site8,1.741123895
Site8,2.606785504
Site8,1.869969146
Site8,2.118990975
Site8,1.780989212
Site8,2.035416243
Site8,1.83003766
Site8,2.043576258
Site8,2.022960603
Site8,1.743050338
Site8,1.880747194
Site8,2.493513883
Site8,1.81066867
Site8,1.819599606
Site8,1.968444778
Site8,1.820948524
Site8,1.849421954
Site8,1.635076157
Site8,1.829656025
Site8,2.1072756
Site8,1.762365729
Site8,1.808449074
Site8,1.742588872
Site8,1.658487309
Site8,2.438931177
Site8,1.94048
Site8,1.748148148
Site8,1.762277198
Site8,1.906797074
Site8,2.562734786
Site8,2.220754373
Site8,1.768261317
Site8,2.035416243
Site8,1.947916737
Site8,2.717382455
Site8,2.054613733
Site8,1.682945154
Site8,1.983471074
Site8,1.765215015
Site8,1.754760742
Site8,1.961331959
Site8,1.672453704
Site8,1.716086926
Site8,1.706873009
Site8,1.742588872
Site8,2.510523312
Site8,2.537317634
Site8,1.626157407
Site8,1.928379597
Site8,1.966317706
Site8,2.759259259
Site8,2.765215015
Site8,1.96096
Site8,2.720510894
Site8,2.277696793
Site8,2.781924803
Site8,1.894431693
Site8,2.630092387
Site8,2.743050338
Site8,1.989293981
