site,reach_length,pass_1,pass_2,pass_3
Site1,100,108,1,1
Site2,100,105,0,0
Site3,100,101,97,0
Site4,100,96,63,50
Site5,100,164,89,13
Site6,100,170,146,47
Site7,100,214,36,20
Site8,100,201,40,2
