site,group,coleoptera_raw,ept_raw,predator_raw,collector_raw,intolerant_raw,noninsect_raw,tolerant_raw,coleoptera,ept,predator,collector,intolerant,noninsect,tolerant,IBI
B1,burned,0,10,5,96.8,0.1,5,20,0,5,2,0,0,10,5,0.314285714
B2,burned,0,9,5,95.9,0.1,5.3,21.1,0,5,2,1,0,10,5,0.328571429
B3,burned,1,11,4,87.5,0.1,4.5,18.2,2,6,1,3,0,10,6,0.4
B4,burned,0,9,5,94.9,0.2,5.9,23.5,0,5,2,1,0,10,4,0.314285714
U5,unburned,5,17,9,57.8,0.1,5.6,13.9,8,9,6,10,0,10,7,0.714285714
U6,unburned,6,14,8,61,0.2,3.6,14.3,10,7,5,9,0,10,7,0.685714286
U7,unburned,5,16,9,63.3,0.2,6.5,11.9,8,9,6,9,0,10,8,0.714285714
U8,unburned,5,18,8,52.2,0.2,5.6,13.9,8,10,5,10,0,10,7,0.714285714
