site,group,reach_length,pass_1,pass_2,pass_3,abundance,density
B1,burned,100,108,1,1,110,1100
B2,burned,100,105,0,0,105,1050
B3,burned,100,101,97,0,198,1980
B4,burned,100,96,63,50,209,2090
U5,unburned,100,164,89,13,266,2660
U6,unburned,100,170,146,47,363,3630
U7,unburned,100,214,36,20,270,2700
U8,unburned,100,201,40,2,243,2430
