site,afdm
mouse,0.0014
mouse,0.0047
mouse,0.0043
mouse,0.0036
mouse,0.0042
weasel,0.0013
weasel,0.0031
weasel,0.004
weasel,0.0043
weasel,0.0021
woodrat,0.0036
woodrat,0.0019
woodrat,0.0025
woodrat,0.0012
woodrat,0.0034
beaver,0.0004
beaver,0.0005
beaver,0.0007
beaver,0.0006
beaver,0.0002
shrew,0.0004
shrew,0.0002
shrew,0.0003
shrew,0.0005
shrew,0.0007
vole,0.0003
vole,0.0004
vole,0.0004
vole,0.0003
vole,0.0002
